,0
0,0.993170772706628
1,0.9310865310536274
2,0.8758064199226502
3,0.9182396688025433
4,0.8762096708363983
5,0.983913173557247
6,0.9882237984793477
7,0.9784385823312125
8,0.9957705270803751
9,0.9944539244961657
10,0.9240079058494602
11,0.9127498249262791
12,0.9857266100745187
13,0.9789805647106633
14,0.04632366125246623
15,0.9999946507639156
16,0.9932792437862005
17,0.9414908081154855
18,0.9948962028961995
19,0.9932706557843318
20,0.2781939467145337
21,0.9939568095204061
22,0.03594099636716577
23,0.9666602878400196
24,0.9485592918970409
25,0.5061965677829011
26,0.9835755958272875
27,0.9899775492042038
28,0.9835755958272875
29,0.2331455215718996
30,0.9182394005243248
31,0.9963006953266625
32,0.2758120161090273
33,0.6626468793328902
34,0.9836566541117896
35,0.9901213340685446
36,0.9868809166379242
37,0.9921553533501489
38,0.9666967459367743
39,0.48503814219478747
